name,red,green,blue,alpha,id,color
canopy,234,158,128,255,0,#ea9e80
wall,45,134,189,255,1,#2d86bd
trunk,141,4,17,255,2,#8d0411
ashcan,172,72,91,255,3,#ac485b
handcart,7,82,63,255,4,#07523f
door,47,234,175,255,5,#2feaaf
window,5,184,199,255,6,#05b8c7
umbrella,183,64,18,255,7,#b74012
bin,193,17,27,255,8,#c1111b
box,52,190,149,255,9,#34be95
building,27,32,233,255,10,#1b20e9
roof,58,57,63,255,11,#3a393f
crown,64,142,105,255,12,#408e69
tree,192,175,119,255,13,#c0af77
parapet,243,178,233,255,14,#f3b2e9
floor,117,21,135,255,15,#751587
